id,title,abstract,authors,journal_conference_name,publisher,year,doi,group_name,topic_id,probability,topic_name
6936,qcd high baryon density temperature competing condensates tricritical point,"The phase diagram of strongly interacting matter is explored as a function of temperature and baryon number density. We investigate the possible simultaneous formation of condensates in the conventional quark--anti-quark channel (breaking chiral symmetry) and in a quark--quark channel leading to color superconductivity: the spontaneous breaking of color symmetry via the formation of quark Cooper pairs. We point out that for two massless quark flavors a tricritical point in the phase diagram separates a chiral symmetry restoring first order transition at high densities from the second order transition at high temperatures. Away from the chiral limit this tricritical point becomes a second order phase transition with Ising model exponents, suggesting that a long correlation length may develop in heavy ion collisions in which the phase transition is traversed at the appropriate density.",['J. Berges'],"Nucl.Phys.A642:51-57,1998",arXiv,1998,10.1016/S0375-9474(98)00498-9,hep-ph,16,1.0,"qcd, qcd critical, critical point, point, qcd qcd"
6438,quarks nuclear medium,"Using the quark-meson coupling (QMC) model we study nuclear matter from the point of view of quark degrees of freedom. As the nucleon model we adopt the MIT bag model and the relativistic constituent quark model, where a square well and harmonic oscillator potentials are used to confine the quarks. We introduce the Lorentz-vector type confining potential as well as the Lorentz-scalar type one in order to examine how the vector confining potential contributes to the properties of the nucleon and nuclear matter. Next, we perform a re-definition of the scalar field in matter and transform the QMC model to a QHD-type model with a non-linear scalar potential. The result obtained from QMC is then compared with the potentials which are determined so as to fit various properties of finite nuclei and nuclear matter in relativistic mean-field models. The QMC model provides the parameters $\kappa \sim 20 - 40$ (fm$^{-1}$) and $\lambda \sim 80 - 400$ for the standard, non-linear scalar potential. We discuss a relationship between the QMC and QHD-type models in detail.",['K. Saito'],,arXiv,2000,,nucl-th,42,1.0,"coupling model, quark models, quarkmeson, quarkmeson coupling, quark"
6919,enrichment history hot gas poor galaxy groups,"We have analyzed the ASCA SIS and GIS data for seventeen groups and determined the average temperature and abundance of the hot x-ray emitting gas. For groups with gas temperatures less than 1.5 keV we find that the abundance is correlated with the gas temperature and luminosity. We have also determined the abundance of the alpha-elements and iron independently for those groups with sufficient counts. We find that for the cool groups (i.e. kT <1.5 keV) the ratio of alpha-elements to iron is ~1, about half that seen in clusters. Spectral fits with the S, Si and Fe abundances allowed to vary separately suggest the S/Fe ratio is similar to that seen in clusters while the Si/Fe ratio in groups is half the value determined for richer systems. The mass of metals per unit blue luminosity drops rapidly in groups as the temperature drops. There are two possible explanations for this decrease. One is that the star formation in groups is very different from that in rich clusters. The other explanation is that groups lose much of their enriched material via winds during the early evolution of ellipticals. If the latter is true, we find that poor groups will have contributed significantly (roughly 1/3 of the metals) to the enrichment of the intergalactic medium.","['David S. Davis, John S. Mulchaey, Richard F. Mushotzky']",,arXiv,1998,10.1086/306665,astro-ph,-1,0.0,Other
3686,discovery highly variable dipping ultraluminous xray source,"We report the discovery of a new ultraluminous X-ray source (ULX) 2XMM J125048.6+410743 within the spiral galaxy M94. The source has been observed by ROSAT, Chandra, and XMM-Newton on several occasions, exhibiting as a highly variable persistent source or a recurrent transient with a flux variation factor of >100, a high duty cycle (at least ~70%), and a peak luminosity of Lx ~ 2X10^{39} erg/s (0.2-10 keV, absorbed). In the brightest observation, the source is similar to typical low-luminosity ULXs, with the spectrum showing a high-energy cutoff but harder than that from a standard accretion disk. There are also sporadical short dips, accompanied by spectral softening. In a fainter observation with Lx ~ 3.6X10^{38} erg/s, the source appears softer and is probably in the thermal state seen in Galactic black-hole X-ray binaries (BHBs). In an even fainter observation (Lx ~ 9X10^{37} erg/s), the spectrum is harder again, and the source might be in the steep-powerlaw state or the hard state of BHBs. In this observation, the light curve might exhibit ~7 hr (quasi-)periodic large modulations over two cycles. The source also has a possible point-like optical counterpart from HST images. In terms of the colors and the luminosity, the counterpart is probably a G8 supergiant or a compact red globular cluster containing ~2X10^5 K dwarfs, with some possible weak UV excess that might be ascribed to accretion activity. Thus our source is a candidate stellar-mass BHB with a supergiant companion or with a dwarf companion residing in a globular cluster. Our study supports that some low-luminosity ULXs are supercritically accreting stellar-mass BHBs.","['Dacheng Lin, Jimmy A. Irwin, Natalie A. Webb, Didier Barret, Ronald A. Remillard']",,arXiv,2013,10.1088/0004-637X/779/2/149,astro-ph.HE,9,1.0,"xray, discovery, cygnus, timing, xte"
3407,massless rotating fermions inside cylinder,"We study rotating thermal states of a massless quantum fermion field inside a cylinder in Minkowski space-time. Two possible boundary conditions for the fermion field on the cylinder are considered: the spectral and MIT bag boundary conditions. If the radius of the cylinder is sufficiently small, rotating thermal expectation values are finite everywhere inside the cylinder. We also study the Casimir divergences on the boundary. The rotating thermal expectation values and the Casimir divergences have different properties depending on the boundary conditions applied at the cylinder. This is due to the local nature of the MIT bag boundary condition, while the spectral boundary condition is nonlocal.","['Victor E. Ambrus, Elizabeth Winstanley']",,arXiv,2015,10.1063/1.4937237,hep-th,-1,0.0,Other
7106,insight hadron structure lattice qcd,"A variety of evidence from lattice QCD is presented revealing the dominant role of instantons in the propagation of light quarks in the QCD vacuum and in light hadron structure. The instanton content of lattice gluon configurations is extracted, and observables calculated from the instantons alone are shown to agree well with those calculated using all gluons. The lowest 128 eigenfunctions of the Dirac operator are calculated and shown to exhibit zero modes localized at the instantons. Finally, the zero mode contributions to the quark propagator alone are shown to account for essentially the full strength of the rho and pion resonances in the vector and pseudoscalar correlation functions.",['J. W. Negele'],,arXiv,1997,10.1063/1.54309,hep-lat,17,1.0,"lattice qcd, lattice, qcd, hadron structure, qcd lattice"
5055,electromagnetic casimir energy extra dimensions,"We calculate the energy-momentum tensor due to electromagnetic vacuum fluctuations between two parallel hyperplanes in more than four dimensions, considering both metallic and MIT boundary conditions. Using the axial gauge, the problem can be mapped upon the corresponding problem with a massless, scalar field satisfying respectively Dirichlet or Neumann boundary conditions. The pressure between the plates is constant while the energy density is found to diverge at the boundaries when there are extra dimensions. This can be related to the fact that Maxwell theory is then no longer conformally invariant. A similar behavior is known for the scalar field where a constant energy density consistent with the pressure can be obtained by improving the energy-momentum tensor with the Huggins term. This is not possible for the Maxwell field. However, the change in the energy-momentum tensor with distance between boundaries is finite in all cases.","['H. Alnes, K. Olaussen, F. Ravndal, I. K. Wehus']","Phys.Rev.D74:105017,2006",arXiv,2006,10.1103/PhysRevD.74.105017,quant-ph,24,0.6700217968560551,"casimir, casimir effect, fermionic, casimir energy, fermionic casimir"
320,effective field theories dissipative fluids oneform symmetries,"A system with a one-form global symmetry at finite temperature can be viewed as a dissipative fluid of string-like objects. In this work, we classify and construct the most general effective field theories for hydrodynamics of such string fluids, in a probe limit where the one-form charge density is decoupled from the energy-momentum tensor. We show that at leading order in the derivative expansion, there are two distinct types of diffusive transport in a string fluid depending on the discrete spacetime symmetries present in it. One particular application of interest is magnetohydrodynamics (MHD), where the effective field theories describe the diffusion of magnetic field lines. Due to the distinction between the effective field theories for different discrete symmetries, we show that the MHD of a fluid with charge conjugation symmetry is qualitatively different from that of a neutron star, which we previously discussed in arXiv:2207.01636. The explicit effective actions that we write down can be used to obtain the dispersion relations $\omega(k)$ up to cubic order in momenta for each of the different discrete symmetry choices. As another application of this formalism, we show that when the one-form symmetry is spontaneously broken, the effective action reduces to the Maxwell theory. This confirms the interpretation of the photon as a Goldstone boson arising from the spontaneous breaking of a one-form symmetry.","['Shreya Vardhan, Sašo Grozdanov, Samuel Leutheusser, Hong Liu']",,arXiv,2024,,hep-th,54,1.0,"viscosity, fluids, effective field, effective, hydrodynamics"
1421,robust dialogue state tracking weak supervision sparse data,"Generalising dialogue state tracking (DST) to new data is especially challenging due to the strong reliance on abundant and fine-grained supervision during training. Sample sparsity, distributional shift and the occurrence of new concepts and topics frequently lead to severe performance degradation during inference. In this paper we propose a training strategy to build extractive DST models without the need for fine-grained manual span labels. Two novel input-level dropout methods mitigate the negative impact of sample sparsity. We propose a new model architecture with a unified encoder that supports value as well as slot independence by leveraging the attention mechanism. We combine the strengths of triple copy strategy DST and value matching to benefit from complementary predictions without violating the principle of ontology independence. Our experiments demonstrate that an extractive DST model can be trained without manual span labels. Our architecture and training strategies improve robustness towards sample sparsity, new concepts and topics, leading to state-of-the-art performance on a range of benchmarks. We further highlight our model's ability to effectively learn from non-dialogue data.","['Michael Heck, Nurul Lubis, Carel van Niekerk, Shutong Feng, Christian Geishauser, Hsien-Chin Lin, Milica Gašić']",,arXiv,2022,,cs.CL,1,0.4918801362095445,"language, language models, large language, models, speech"
4646,approaching event horizon vlbi sgra,"Advances in VLBI instrumentation now allow wideband recording that significantly increases the sensitivity of short wavelength VLBI observations. Observations of the super-massive black hole candidate at the center of the Milky Way, SgrA*, with short wavelength VLBI reduces the scattering effects of the intervening interstellar medium, allowing observations with angular resolution comparable to the apparent size of the event horizon of the putative black hole. Observations in April 2007 at a wavelength of 1.3mm on a three station VLBI array have now confirmed structure in SgrA* on scales of just a few Schwarzschild radii. When modeled as a circular Gaussian, the fitted diameter of SgrA* is 37 micro arcsec (+16,-10; 3-sigma), which is smaller than the expected apparent size of the event horizon of the Galactic Center black hole. These observations demonstrate that mm/sub-mm VLBI is poised to open a new window onto the study of black hole physics via high angular resolution observations of the Galactic Center.",['Sheperd S. Doeleman'],"J.Phys.Conf.Ser.131:012055,2008",arXiv,2008,10.1088/1742-6596/131/1/012055,astro-ph,4,0.2270063342982566,"black, holes, black holes, black hole, hole"
